"Dias desde o inicio da epidemia";"#BR: Sao Paulo"
"Dia 1";0
"Dia 2";0
"Dia 3";0
"Dia 4";0
"Dia 5";0
"Dia 6";0
"Dia 7";0
"Dia 8";0
"Dia 9";0
"Dia 10";0
"Dia 11";0
"Dia 12";0
"Dia 13";0
"Dia 14";0
"Dia 15";0
"Dia 16";0
"Dia 17";0
"Dia 18";0
"Dia 19";0
"Dia 20";1
"Dia 21";3
"Dia 22";5
"Dia 23";9
"Dia 24";15
"Dia 25";22
"Dia 26";30
"Dia 27";40
"Dia 28";48
"Dia 29";58
"Dia 30";68
"Dia 31";84
"Dia 32";98
"Dia 33";113
"Dia 34";136
"Dia 35";164
"Dia 36";188
"Dia 37";219
"Dia 38";260
"Dia 39";275
"Dia 40";304
"Dia 41";371
"Dia 42";428
"Dia 43";496
"Dia 44";540
"Dia 45";560
"Dia 46";588
"Dia 47";608
"Dia 48";695
"Dia 49";778
"Dia 50";853
"Dia 51";928
"Dia 52";991
"Dia 53";1015
"Dia 54";1037
"Dia 55";1093
"Dia 56";1134
"Dia 57";1345
"Dia 58";1512
"Dia 59";1667
"Dia 60";1700
"Dia 61";1825
"Dia 62";2049
"Dia 63";2247
"Dia 64";2375
"Dia 65";2511
"Dia 66";2586
"Dia 67";2627
"Dia 68";2654
"Dia 69";2851
"Dia 70";3045
"Dia 71";3206
"Dia 72";3416
"Dia 73";3608
"Dia 74";3709
"Dia 75";3743
"Dia 76";3949
"Dia 77";4118
"Dia 78";4315
"Dia 79";4501
"Dia 80";4688
"Dia 81";4782
"Dia 82";4823
"Dia 83";5147
"Dia 84";5363
"Dia 85";5558
"Dia 86";5773
"Dia 87";6045
"Dia 88";6163
"Dia 89";6220
"Dia 90";6423
"Dia 91";6712
"Dia 92";6980
"Dia 93";7275
"Dia 94";7532
"Dia 95";7615
"Dia 96";7667
"Dia 97";7994
"Dia 98";8276
"Dia 99";8561
"Dia 100";8842
"Dia 101";9058
"Dia 102";9145
"Dia 103";9188
"Dia 104";9522
"Dia 105";9862
"Dia 106";10145
"Dia 107";10368
"Dia 108";10581
"Dia 109";10694
"Dia 110";10767
"Dia 111";11132
"Dia 112";11521
"Dia 113";11846
"Dia 114";12232
"Dia 115";12494
"Dia 116";12588
"Dia 117";12634
"Dia 118";13068
"Dia 119";13352
"Dia 120";13759
"Dia 121";13966
"Dia 122";14263
"Dia 123";14338
"Dia 124";14398
"Dia 125";14763
"Dia 126";15030
"Dia 127";15351
"Dia 128";15694
"Dia 129";15996
"Dia 130";16078
"Dia 131";16134
"Dia 132";16475
"Dia 133";16788
"Dia 134";17118
"Dia 135";17442
"Dia 136";17702
"Dia 137";17848
"Dia 138";17907
"Dia 139";18324
"Dia 140";18640
"Dia 141";19038
"Dia 142";19377
"Dia 143";19647
"Dia 144";19732
"Dia 145";19788
"Dia 146";20171
"Dia 147";20532
"Dia 148";20894
"Dia 149";21206
"Dia 150";21517
"Dia 151";21606
"Dia 152";21676
"Dia 153";22059
"Dia 154";22389
"Dia 155";22710
"Dia 156";22997
"Dia 157";23236
"Dia 158";23317
"Dia 159";23365
"Dia 160";23702
"Dia 161";24109
"Dia 162";24448
"Dia 163";24735
"Dia 164";25016
"Dia 165";25114
"Dia 166";25151
"Dia 167";25571
"Dia 168";25869
"Dia 169";26324
"Dia 170";26613
"Dia 171";26780
"Dia 172";26852
"Dia 173";26899
"Dia 174";27315
"Dia 175";27591
"Dia 176";27905
"Dia 177";28155
"Dia 178";28392
"Dia 179";28467
"Dia 180";28505
"Dia 181";28912
"Dia 182";29194
"Dia 183";29415
"Dia 184";29694
"Dia 185";29944
"Dia 186";29978
"Dia 187";30014
"Dia 188";30375
"Dia 189";30673
"Dia 190";30905
"Dia 191";31091
"Dia 192";31313
"Dia 193";31353
"Dia 194";31377
"Dia 195";31430
"Dia 196";31821
"Dia 197";32104
"Dia 198";32338
"Dia 199";32567
"Dia 200";32606
"Dia 201";32642
"Dia 202";32963
"Dia 203";33253
"Dia 204";33472
"Dia 205";33678
"Dia 206";33927
"Dia 207";33952
"Dia 208";33984
"Dia 209";34266
